,CH1,CH2
Second,Volt,Volt
-3.78360e-02,2.97e-01,4.00e+00, 
-3.76894e-02,2.97e-01,4.20e+00, 
-3.75429e-02,2.97e-01,4.20e+00, 
-3.73965e-02,2.97e-01,4.20e+00, 
-3.72500e-02,2.97e-01,4.40e+00, 
-3.71035e-02,2.97e-01,4.40e+00, 
-3.69570e-02,2.97e-01,4.60e+00, 
-3.68105e-02,2.97e-01,4.60e+00, 
-3.66641e-02,2.97e-01,4.60e+00, 
-3.65176e-02,2.97e-01,4.80e+00, 
-3.63711e-02,2.97e-01,4.80e+00, 
-3.62246e-02,2.97e-01,4.80e+00, 
-3.60781e-02,2.97e-01,4.80e+00, 
-3.59316e-02,2.97e-01,5.00e+00, 
-3.57851e-02,2.98e-01,5.00e+00, 
-3.56387e-02,2.98e-01,5.00e+00, 
-3.54922e-02,2.99e-01,5.20e+00, 
-3.53457e-02,2.99e-01,5.20e+00, 
-3.51992e-02,2.99e-01,5.40e+00, 
-3.50527e-02,3.00e-01,5.40e+00, 
-3.49063e-02,3.01e-01,5.40e+00, 
-3.47598e-02,3.01e-01,5.40e+00, 
-3.46133e-02,3.02e-01,5.40e+00, 
-3.44668e-02,3.02e-01,5.60e+00, 
-3.43203e-02,3.02e-01,5.60e+00, 
-3.41738e-02,3.02e-01,5.80e+00, 
-3.40273e-02,3.03e-01,5.80e+00, 
-3.38808e-02,3.03e-01,5.80e+00, 
-3.37344e-02,3.03e-01,6.00e+00, 
-3.35879e-02,3.02e-01,6.20e+00, 
-3.34414e-02,3.02e-01,6.20e+00, 
-3.32949e-02,3.00e-01,6.20e+00, 
-3.31484e-02,2.99e-01,6.20e+00, 
-3.30020e-02,2.98e-01,6.40e+00, 
-3.28555e-02,2.97e-01,6.40e+00, 
-3.27090e-02,2.97e-01,6.40e+00, 
-3.25625e-02,2.96e-01,6.60e+00, 
-3.24160e-02,2.97e-01,6.60e+00, 
-3.22695e-02,2.96e-01,6.80e+00, 
-3.21230e-02,2.96e-01,6.80e+00, 
-3.19766e-02,2.96e-01,6.80e+00, 
-3.18301e-02,2.96e-01,6.80e+00, 
-3.16836e-02,2.96e-01,6.80e+00, 
-3.15371e-02,2.96e-01,7.00e+00, 
-3.13906e-02,2.96e-01,7.00e+00, 
-3.12442e-02,2.95e-01,7.00e+00, 
-3.10977e-02,2.95e-01,7.20e+00, 
-3.09511e-02,2.95e-01,7.20e+00, 
-3.08047e-02,2.95e-01,7.40e+00, 
-3.06582e-02,2.95e-01,7.40e+00, 
-3.05117e-02,2.95e-01,7.40e+00, 
-3.03652e-02,2.95e-01,7.60e+00, 
-3.02187e-02,2.95e-01,7.60e+00, 
-3.00723e-02,2.95e-01,7.60e+00, 
-2.99258e-02,2.95e-01,7.60e+00, 
-2.97793e-02,2.95e-01,7.60e+00, 
-2.96328e-02,2.95e-01,7.80e+00, 
-2.94863e-02,2.95e-01,8.00e+00, 
-2.93398e-02,2.95e-01,8.00e+00, 
-2.91933e-02,2.95e-01,8.00e+00, 
-2.90469e-02,2.95e-01,8.20e+00, 
-2.89004e-02,2.95e-01,8.20e+00, 
-2.87539e-02,2.95e-01,8.20e+00, 
-2.86074e-02,2.95e-01,8.20e+00, 
-2.84609e-02,2.95e-01,8.40e+00, 
-2.83145e-02,2.95e-01,8.40e+00, 
-2.81680e-02,2.95e-01,8.40e+00, 
-2.80215e-02,2.95e-01,8.40e+00, 
-2.78750e-02,2.95e-01,8.60e+00, 
-2.77285e-02,2.95e-01,8.80e+00, 
-2.75820e-02,2.95e-01,8.80e+00, 
-2.74355e-02,2.95e-01,9.00e+00, 
-2.72890e-02,2.96e-01,9.00e+00, 
-2.71426e-02,2.96e-01,9.00e+00, 
-2.69961e-02,2.96e-01,9.00e+00, 
-2.68496e-02,2.96e-01,9.00e+00, 
-2.67031e-02,2.96e-01,9.00e+00, 
-2.65566e-02,2.96e-01,9.20e+00, 
-2.64102e-02,2.96e-01,9.20e+00, 
-2.62637e-02,2.96e-01,9.20e+00, 
-2.61172e-02,2.97e-01,9.40e+00, 
-2.59707e-02,2.96e-01,9.40e+00, 
-2.58242e-02,2.97e-01,9.60e+00, 
-2.56777e-02,2.97e-01,9.80e+00, 
-2.55312e-02,2.96e-01,9.80e+00, 
-2.53848e-02,2.97e-01,9.80e+00, 
-2.52383e-02,2.97e-01,9.80e+00, 
-2.50918e-02,2.97e-01,9.80e+00, 
-2.49453e-02,2.97e-01,1.00e+01, 
-2.47988e-02,2.97e-01,1.00e+01, 
-2.46524e-02,2.97e-01,1.00e+01, 
-2.45059e-02,2.97e-01,1.02e+01, 
-2.43593e-02,2.97e-01,1.02e+01, 
-2.42129e-02,2.98e-01,1.04e+01, 
-2.40664e-02,2.98e-01,1.04e+01, 
-2.39199e-02,2.97e-01,1.04e+01, 
-2.37734e-02,2.98e-01,1.04e+01, 
-2.36269e-02,2.97e-01,1.04e+01, 
-2.34805e-02,2.97e-01,1.06e+01, 
-2.33340e-02,2.98e-01,1.06e+01, 
-2.31875e-02,2.98e-01,1.08e+01, 
-2.30410e-02,2.98e-01,1.08e+01, 
-2.28945e-02,2.98e-01,1.08e+01, 
-2.27481e-02,2.98e-01,1.10e+01, 
-2.26015e-02,2.98e-01,1.10e+01, 
-2.24551e-02,2.98e-01,1.12e+01, 
-2.23086e-02,2.98e-01,1.12e+01, 
-2.21621e-02,2.97e-01,1.12e+01, 
-2.20156e-02,2.98e-01,1.12e+01, 
-2.18691e-02,2.98e-01,1.12e+01, 
-2.17227e-02,2.98e-01,1.12e+01, 
-2.15762e-02,2.98e-01,1.14e+01, 
-2.14297e-02,2.98e-01,1.14e+01, 
-2.12832e-02,2.98e-01,1.16e+01, 
-2.11367e-02,2.98e-01,1.16e+01, 
-2.09903e-02,2.98e-01,1.18e+01, 
-2.08437e-02,2.98e-01,1.18e+01, 
-2.06972e-02,2.98e-01,1.18e+01, 
-2.05508e-02,2.98e-01,1.18e+01, 
-2.04043e-02,2.98e-01,1.18e+01, 
-2.02578e-02,2.98e-01,1.20e+01, 
-2.01113e-02,2.98e-01,1.20e+01, 
-1.99648e-02,2.98e-01,1.22e+01, 
-1.98184e-02,2.98e-01,1.22e+01, 
-1.96719e-02,2.98e-01,1.24e+01, 
-1.95254e-02,2.98e-01,1.24e+01, 
-1.93789e-02,2.98e-01,1.24e+01, 
-1.92324e-02,2.99e-01,1.26e+01, 
-1.90859e-02,2.99e-01,1.26e+01, 
-1.89394e-02,2.99e-01,1.26e+01, 
-1.87930e-02,2.99e-01,1.26e+01, 
-1.86465e-02,3.00e-01,1.28e+01, 
-1.85000e-02,3.01e-01,1.28e+01, 
-1.83535e-02,3.02e-01,1.28e+01, 
-1.82070e-02,3.02e-01,1.30e+01, 
-1.80606e-02,3.04e-01,1.32e+01, 
-1.79141e-02,3.05e-01,1.32e+01, 
-1.77675e-02,3.06e-01,1.32e+01, 
-1.76211e-02,3.07e-01,1.32e+01, 
-1.74746e-02,3.09e-01,1.32e+01, 
-1.73281e-02,3.10e-01,1.34e+01, 
-1.71816e-02,3.11e-01,1.34e+01, 
-1.70351e-02,3.12e-01,1.36e+01, 
-1.68887e-02,3.13e-01,1.36e+01, 
-1.67422e-02,3.14e-01,1.36e+01, 
-1.65957e-02,3.14e-01,1.36e+01, 
-1.64492e-02,3.14e-01,1.38e+01, 
-1.63027e-02,3.13e-01,1.40e+01, 
-1.61563e-02,3.11e-01,1.40e+01, 
-1.60097e-02,3.10e-01,1.40e+01, 
-1.58633e-02,3.09e-01,1.40e+01, 
-1.57168e-02,3.08e-01,1.40e+01, 
-1.55703e-02,3.08e-01,1.40e+01, 
-1.54238e-02,3.08e-01,1.42e+01, 
-1.52773e-02,3.07e-01,1.44e+01, 
-1.51309e-02,3.07e-01,1.44e+01, 
-1.49844e-02,3.07e-01,1.44e+01, 
-1.48379e-02,3.08e-01,1.44e+01, 
-1.46914e-02,3.08e-01,1.46e+01, 
-1.45449e-02,3.09e-01,1.48e+01, 
-1.43985e-02,3.10e-01,1.48e+01, 
-1.42519e-02,3.10e-01,1.48e+01, 
-1.41054e-02,3.10e-01,1.48e+01, 
-1.39590e-02,3.11e-01,1.48e+01, 
-1.38125e-02,3.10e-01,1.50e+01, 
-1.36660e-02,3.10e-01,1.50e+01, 
-1.35195e-02,3.10e-01,1.50e+01, 
-1.33730e-02,3.09e-01,1.52e+01, 
-1.32266e-02,3.09e-01,1.52e+01, 
-1.30801e-02,3.08e-01,1.54e+01, 
-1.29336e-02,3.08e-01,1.54e+01, 
-1.27871e-02,3.07e-01,1.54e+01, 
-1.26406e-02,3.06e-01,1.54e+01, 
-1.24941e-02,3.06e-01,1.56e+01, 
-1.23476e-02,3.05e-01,1.54e+01, 
-1.22012e-02,3.05e-01,1.56e+01, 
-1.20547e-02,3.04e-01,1.58e+01, 
-1.19082e-02,3.04e-01,1.58e+01, 
-1.17617e-02,3.03e-01,1.58e+01, 
-1.16152e-02,3.02e-01,1.60e+01, 
-1.14688e-02,3.02e-01,1.60e+01, 
-1.13223e-02,3.02e-01,1.62e+01, 
-1.11758e-02,3.01e-01,1.62e+01, 
-1.10293e-02,3.01e-01,1.62e+01, 
-1.08828e-02,3.01e-01,1.62e+01, 
-1.07363e-02,3.00e-01,1.62e+01, 
-1.05898e-02,3.00e-01,1.62e+01, 
-1.04433e-02,2.99e-01,1.64e+01, 
-1.02969e-02,2.99e-01,1.64e+01, 
-1.01504e-02,2.99e-01,1.66e+01, 
-1.00039e-02,2.99e-01,1.66e+01, 
-9.85742e-03,2.99e-01,1.66e+01, 
-9.71091e-03,2.99e-01,1.68e+01, 
-9.56446e-03,2.99e-01,1.68e+01, 
-9.41795e-03,2.99e-01,1.68e+01, 
-9.27150e-03,2.98e-01,1.68e+01, 
-9.12499e-03,2.98e-01,1.68e+01, 
-8.97849e-03,2.98e-01,1.70e+01, 
-8.83204e-03,2.98e-01,1.70e+01, 
-8.68553e-03,2.98e-01,1.70e+01, 
-8.53908e-03,2.98e-01,1.72e+01, 
