,CH1,CH3,CH4
Second,Volt,Volt,Volt
-1.73937e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.73791e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.73645e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.73498e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.73352e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.73205e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.73059e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.72912e-01,2.60e-01,-1.20e+00,3.11e-01, 
-1.72766e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.72619e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.72473e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.72326e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.72180e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.72033e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71887e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71740e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71594e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71447e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71301e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71154e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.71008e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.70861e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.70715e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.70568e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.70422e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.70275e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.70129e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.69982e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.69836e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.69689e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.69543e-01,2.60e-01,-1.20e+00,3.10e-01, 
-1.69397e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.69250e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.69104e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68957e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68811e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68664e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68518e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68371e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68225e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.68078e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.67932e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.67785e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.67639e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.67492e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.67346e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.67199e-01,2.60e-01,-1.20e+00,3.09e-01, 
-1.67053e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66906e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66760e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66613e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66467e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66320e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66174e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.66027e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.65881e-01,2.60e-01,-1.20e+00,3.08e-01, 
-1.65734e-01,2.60e-01,-1.20e+00,3.08e-01, 
