Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,9000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
335,     33.60,240
336,     33.70,230
337,     33.80,219
338,     33.90,187
339,     34.00,240
340,     34.10,187
341,     34.20,188
342,     34.30,238
343,     34.40,214
344,     34.50,220
345,     34.60,238
346,     34.70,238
347,     34.80,211
348,     34.90,207
349,     35.00,215
350,     35.10,211
351,     35.20,207
352,     35.30,240
353,     35.40,252
354,     35.50,208
355,     35.60,212
356,     35.70,197
357,     35.80,235
358,     35.90,225
359,     36.00,187
360,     36.10,220
361,     36.20,186
362,     36.30,230
363,     36.40,237
364,     36.50,209
365,     36.60,222
366,     36.70,198
367,     36.80,208
368,     36.90,213
369,     37.00,235
370,     37.10,196
371,     37.20,218
372,     37.30,221
373,     37.40,201
374,     37.50,210
375,     37.60,206
376,     37.70,213
377,     37.80,214
378,     37.90,243
379,     38.00,219
380,     38.10,224
381,     38.20,202
382,     38.30,205
383,     38.40,229
384,     38.50,204
385,     38.60,213
386,     38.70,233
387,     38.80,221
388,     38.90,232
389,     39.00,212
390,     39.10,228
391,     39.20,206
392,     39.30,202
393,     39.40,195
394,     39.50,225
395,     39.60,192
396,     39.70,199
397,     39.80,193
398,     39.90,230
399,     40.00,227
400,     40.10,205
401,     40.20,222
402,     40.30,206
403,     40.40,237
404,     40.50,227
405,     40.60,227
406,     40.70,228
407,     40.80,228
408,     40.90,222
409,     41.00,212
410,     41.10,222
411,     41.20,222
412,     41.30,213
413,     41.40,227
414,     41.50,208
415,     41.60,195
416,     41.70,222
417,     41.80,212
418,     41.90,216
419,     42.00,260
420,     42.10,215
421,     42.20,236
422,     42.30,220
423,     42.40,197
424,     42.50,218
425,     42.60,216
426,     42.70,235
427,     42.80,208
428,     42.90,234
429,     43.00,223
430,     43.10,242
431,     43.20,238
432,     43.30,189
433,     43.40,220
434,     43.50,217
435,     43.60,222
436,     43.70,187
437,     43.80,225
438,     43.90,213
439,     44.00,208
440,     44.10,227
441,     44.20,217
442,     44.30,191
443,     44.40,212
444,     44.50,214
445,     44.60,201
446,     44.70,258
447,     44.80,223
448,     44.90,239
449,     45.00,253
450,     45.10,199
451,     45.20,206
452,     45.30,198
453,     45.40,229
454,     45.50,221
455,     45.60,216
456,     45.70,209
457,     45.80,220
458,     45.90,207
459,     46.00,234
460,     46.10,212
461,     46.20,220
462,     46.30,205
463,     46.40,198
464,     46.50,240
465,     46.60,222
466,     46.70,181
467,     46.80,211
468,     46.90,219
469,     47.00,202
470,     47.10,203
471,     47.20,228
472,     47.30,225
473,     47.40,220
474,     47.50,222
475,     47.60,217
476,     47.70,213
477,     47.80,224
478,     47.90,232
479,     48.00,210
480,     48.10,206
481,     48.20,215
482,     48.30,218
483,     48.40,206
484,     48.50,224
485,     48.60,210
486,     48.70,228
487,     48.80,204
488,     48.90,200
489,     49.00,220
490,     49.10,211
491,     49.20,215
492,     49.30,229
493,     49.40,201
494,     49.50,228
495,     49.60,224
496,     49.70,216
497,     49.80,214
498,     49.90,219
499,     50.00,218
500,     50.10,199
501,     50.20,205
502,     50.30,220
503,     50.40,238
504,     50.50,215
505,     50.60,188
506,     50.70,202
507,     50.80,214
508,     50.90,206
509,     51.00,215
510,     51.10,237
511,     51.20,216
512,     51.30,179
513,     51.40,211
514,     51.50,212
515,     51.60,226
516,     51.70,244
517,     51.80,217
518,     51.90,216
519,     52.00,187
520,     52.10,211
521,     52.20,209
522,     52.30,192
523,     52.40,202
524,     52.50,213
525,     52.60,225
526,     52.70,207
527,     52.80,227
528,     52.90,213
529,     53.00,226
530,     53.10,210
531,     53.20,206
532,     53.30,232
533,     53.40,193
534,     53.50,209
535,     53.60,218
536,     53.70,217
537,     53.80,207
538,     53.90,196
539,     54.00,229
540,     54.10,228
541,     54.20,221
542,     54.30,228
543,     54.40,205
544,     54.50,208
545,     54.60,189
546,     54.70,217
547,     54.80,216
548,     54.90,212
549,     55.00,189
550,     55.10,214
551,     55.20,200
552,     55.30,234
553,     55.40,245
554,     55.50,214
555,     55.60,210
556,     55.70,194
557,     55.80,227
558,     55.90,189
559,     56.00,203
560,     56.10,215
561,     56.20,205
562,     56.30,215
563,     56.40,234
564,     56.50,194
565,     56.60,209
566,     56.70,223
567,     56.80,208
568,     56.90,210
569,     57.00,198
570,     57.10,230
571,     57.20,195
572,     57.30,193
573,     57.40,187
574,     57.50,199
575,     57.60,211
576,     57.70,228
577,     57.80,224
578,     57.90,214
579,     58.00,206
580,     58.10,199
581,     58.20,198
582,     58.30,197
583,     58.40,216
584,     58.50,167
585,     58.60,177
586,     58.70,207
587,     58.80,207
588,     58.90,217
589,     59.00,165
590,     59.10,191
591,     59.20,165
592,     59.30,213
593,     59.40,184
594,     59.50,195
595,     59.60,207
596,     59.70,189
597,     59.80,194
598,     59.90,220
599,     60.00,185
600,     60.10,223
601,     60.20,202
602,     60.30,199
603,     60.40,208
604,     60.50,204
605,     60.60,196
606,     60.70,191
607,     60.80,187
608,     60.90,194
609,     61.00,189
610,     61.10,190
611,     61.20,207
612,     61.30,174
613,     61.40,191
614,     61.50,186
615,     61.60,197
616,     61.70,173
617,     61.80,185
618,     61.90,211
619,     62.00,196
620,     62.10,199
621,     62.20,177
622,     62.30,185
623,     62.40,187
624,     62.50,166
625,     62.60,201
626,     62.70,195
627,     62.80,189
628,     62.90,220
629,     63.00,190
630,     63.10,173
631,     63.20,171
632,     63.30,183
633,     63.40,181
634,     63.50,193
635,     63.60,187
636,     63.70,189
637,     63.80,171
638,     63.90,178
639,     64.00,181
640,     64.10,176
641,     64.20,179
642,     64.30,225
643,     64.40,185
644,     64.50,176
645,     64.60,173
646,     64.70,195
647,     64.80,189
648,     64.90,154
649,     65.00,174
650,     65.10,175
651,     65.20,194
652,     65.30,191
653,     65.40,183
654,     65.50,158
655,     65.60,165
656,     65.70,177
657,     65.80,155
658,     65.90,172
659,     66.00,172
660,     66.10,159
661,     66.20,157
662,     66.30,188
663,     66.40,185
664,     66.50,153
665,     66.60,176
666,     66.70,178
667,     66.80,168
668,     66.90,173
669,     67.00,180
670,     67.10,179
671,     67.20,151
672,     67.30,191
673,     67.40,196
674,     67.50,154
675,     67.60,194
676,     67.70,159
677,     67.80,173
678,     67.90,166
679,     68.00,179
680,     68.10,168
681,     68.20,159
682,     68.30,185
683,     68.40,174
684,     68.50,154
685,     68.60,174
686,     68.70,172
687,     68.80,168
688,     68.90,157
689,     69.00,164
690,     69.10,164
691,     69.20,175
692,     69.30,171
693,     69.40,149
694,     69.50,184
695,     69.60,159
696,     69.70,196
697,     69.80,174
698,     69.90,142
699,     70.00,176
700,     70.10,176
701,     70.20,155
702,     70.30,150
703,     70.40,196
704,     70.50,144
705,     70.60,158
706,     70.70,159
707,     70.80,164
708,     70.90,142
709,     71.00,176
710,     71.10,170
711,     71.20,181
712,     71.30,183
713,     71.40,151
714,     71.50,178
715,     71.60,170
716,     71.70,157
717,     71.80,165
718,     71.90,158
719,     72.00,168
720,     72.10,176
721,     72.20,167
722,     72.30,168
723,     72.40,188
724,     72.50,184
725,     72.60,170
726,     72.70,164
727,     72.80,168
728,     72.90,175
729,     73.00,164
730,     73.10,165
731,     73.20,168
732,     73.30,178
733,     73.40,175
734,     73.50,192
735,     73.60,164
736,     73.70,178
737,     73.80,171
738,     73.90,196
739,     74.00,174
740,     74.10,171
741,     74.20,172
742,     74.30,177
743,     74.40,173
744,     74.50,160
745,     74.60,195
746,     74.70,203
747,     74.80,205
748,     74.90,173
749,     75.00,183
750,     75.10,186
751,     75.20,163
752,     75.30,172
753,     75.40,178
754,     75.50,196
755,     75.60,217
756,     75.70,194
757,     75.80,186
758,     75.90,193
759,     76.00,197
760,     76.10,181
761,     76.20,195
762,     76.30,212
763,     76.40,185
764,     76.50,188
765,     76.60,185
766,     76.70,200
767,     76.80,190
768,     76.90,182
769,     77.00,234
770,     77.10,197
771,     77.20,176
772,     77.30,192
773,     77.40,200
774,     77.50,192
775,     77.60,184
776,     77.70,180
777,     77.80,178
778,     77.90,206
779,     78.00,205
780,     78.10,208
781,     78.20,181
782,     78.30,221
783,     78.40,188
784,     78.50,192
785,     78.60,201
786,     78.70,178
787,     78.80,196
788,     78.90,187
789,     79.00,247
790,     79.10,206
