Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,4000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
335,     33.60,88
336,     33.70,105
337,     33.80,88
338,     33.90,92
339,     34.00,80
340,     34.10,98
341,     34.20,89
342,     34.30,105
343,     34.40,92
344,     34.50,105
345,     34.60,103
346,     34.70,103
347,     34.80,97
348,     34.90,108
349,     35.00,77
350,     35.10,119
351,     35.20,102
352,     35.30,103
353,     35.40,100
354,     35.50,107
355,     35.60,95
356,     35.70,86
357,     35.80,81
358,     35.90,121
359,     36.00,107
360,     36.10,112
361,     36.20,102
362,     36.30,98
363,     36.40,100
364,     36.50,108
365,     36.60,106
366,     36.70,92
367,     36.80,89
368,     36.90,115
369,     37.00,105
370,     37.10,103
371,     37.20,96
372,     37.30,99
373,     37.40,103
374,     37.50,111
375,     37.60,110
376,     37.70,106
377,     37.80,114
378,     37.90,89
379,     38.00,84
380,     38.10,109
381,     38.20,98
382,     38.30,98
383,     38.40,103
384,     38.50,120
385,     38.60,113
386,     38.70,95
387,     38.80,98
388,     38.90,105
389,     39.00,111
390,     39.10,94
391,     39.20,110
392,     39.30,113
393,     39.40,85
394,     39.50,113
395,     39.60,108
396,     39.70,98
397,     39.80,110
398,     39.90,105
399,     40.00,101
400,     40.10,103
401,     40.20,91
402,     40.30,112
403,     40.40,95
404,     40.50,103
405,     40.60,92
406,     40.70,85
407,     40.80,114
408,     40.90,114
409,     41.00,100
410,     41.10,95
411,     41.20,84
412,     41.30,123
413,     41.40,114
414,     41.50,104
415,     41.60,101
416,     41.70,119
417,     41.80,105
418,     41.90,116
419,     42.00,97
420,     42.10,116
421,     42.20,106
422,     42.30,90
423,     42.40,105
424,     42.50,88
425,     42.60,102
426,     42.70,106
427,     42.80,118
428,     42.90,94
429,     43.00,110
430,     43.10,113
431,     43.20,105
432,     43.30,94
433,     43.40,105
434,     43.50,100
435,     43.60,129
