Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,27000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,8
Fine Gain:,1.77
ULD:,  45%
LLD:,  28%

Channel Data:
Chan,Dwell(mSec.),Counts
335,     33.60,471
336,     33.70,472
337,     33.80,501
338,     33.90,488
339,     34.00,477
340,     34.10,442
341,     34.20,492
342,     34.30,486
343,     34.40,501
344,     34.50,481
345,     34.60,482
346,     34.70,479
347,     34.80,501
348,     34.90,496
349,     35.00,455
350,     35.10,496
351,     35.20,470
352,     35.30,450
353,     35.40,485
354,     35.50,411
355,     35.60,511
356,     35.70,473
357,     35.80,476
358,     35.90,505
359,     36.00,443
360,     36.10,473
361,     36.20,492
362,     36.30,447
363,     36.40,468
364,     36.50,514
365,     36.60,447
366,     36.70,453
367,     36.80,496
368,     36.90,461
369,     37.00,491
370,     37.10,469
371,     37.20,465
372,     37.30,493
373,     37.40,452
374,     37.50,458
375,     37.60,496
376,     37.70,471
377,     37.80,465
378,     37.90,472
379,     38.00,469
380,     38.10,504
381,     38.20,486
382,     38.30,410
383,     38.40,429
384,     38.50,448
385,     38.60,462
386,     38.70,444
387,     38.80,492
388,     38.90,477
389,     39.00,482
390,     39.10,461
391,     39.20,469
392,     39.30,446
393,     39.40,508
394,     39.50,493
395,     39.60,459
396,     39.70,449
397,     39.80,448
398,     39.90,506
399,     40.00,494
400,     40.10,477
401,     40.20,466
402,     40.30,491
403,     40.40,514
404,     40.50,513
405,     40.60,500
406,     40.70,477
407,     40.80,476
408,     40.90,467
409,     41.00,456
410,     41.10,492
411,     41.20,476
412,     41.30,470
413,     41.40,437
414,     41.50,423
415,     41.60,450
416,     41.70,476
417,     41.80,449
418,     41.90,480
419,     42.00,474
420,     42.10,511
421,     42.20,475
422,     42.30,450
423,     42.40,478
424,     42.50,476
425,     42.60,485
426,     42.70,445
427,     42.80,474
428,     42.90,480
429,     43.00,498
430,     43.10,469
431,     43.20,478
432,     43.30,459
433,     43.40,486
434,     43.50,462
435,     43.60,457
436,     43.70,461
437,     43.80,461
438,     43.90,485
439,     44.00,436
440,     44.10,485
441,     44.20,456
442,     44.30,510
443,     44.40,428
444,     44.50,490
445,     44.60,476
446,     44.70,495
447,     44.80,492
448,     44.90,501
449,     45.00,472
450,     45.10,470
451,     45.20,491
452,     45.30,487
453,     45.40,491
454,     45.50,476
455,     45.60,448
456,     45.70,463
457,     45.80,478
458,     45.90,443
459,     46.00,477
460,     46.10,462
461,     46.20,462
462,     46.30,459
463,     46.40,468
464,     46.50,484
465,     46.60,518
466,     46.70,458
467,     46.80,443
468,     46.90,452
469,     47.00,495
470,     47.10,461
471,     47.20,432
472,     47.30,489
473,     47.40,464
474,     47.50,488
475,     47.60,486
476,     47.70,466
477,     47.80,487
478,     47.90,481
479,     48.00,515
480,     48.10,474
481,     48.20,456
482,     48.30,453
483,     48.40,490
484,     48.50,478
485,     48.60,438
486,     48.70,462
487,     48.80,451
488,     48.90,411
489,     49.00,467
490,     49.10,469
491,     49.20,450
492,     49.30,490
493,     49.40,463
494,     49.50,491
495,     49.60,497
496,     49.70,480
497,     49.80,482
498,     49.90,475
499,     50.00,463
500,     50.10,494
501,     50.20,483
502,     50.30,452
503,     50.40,494
504,     50.50,455
505,     50.60,447
506,     50.70,437
507,     50.80,462
508,     50.90,466
509,     51.00,443
510,     51.10,454
511,     51.20,485
512,     51.30,464
513,     51.40,501
514,     51.50,491
515,     51.60,462
516,     51.70,517
517,     51.80,475
518,     51.90,445
519,     52.00,498
520,     52.10,514
521,     52.20,438
522,     52.30,470
523,     52.40,459
524,     52.50,469
525,     52.60,449
526,     52.70,482
527,     52.80,497
528,     52.90,448
529,     53.00,489
530,     53.10,489
531,     53.20,491
532,     53.30,468
533,     53.40,452
534,     53.50,484
535,     53.60,504
536,     53.70,506
537,     53.80,479
538,     53.90,458
539,     54.00,507
540,     54.10,486
541,     54.20,457
542,     54.30,481
543,     54.40,443
544,     54.50,442
545,     54.60,508
546,     54.70,472
547,     54.80,493
548,     54.90,476
549,     55.00,487
550,     55.10,439
551,     55.20,494
552,     55.30,475
553,     55.40,483
554,     55.50,463
555,     55.60,451
556,     55.70,487
557,     55.80,470
558,     55.90,461
559,     56.00,491
560,     56.10,448
561,     56.20,491
562,     56.30,454
563,     56.40,474
564,     56.50,478
565,     56.60,483
566,     56.70,494
567,     56.80,512
568,     56.90,442
569,     57.00,481
570,     57.10,506
571,     57.20,471
572,     57.30,491
573,     57.40,445
574,     57.50,478
575,     57.60,514
576,     57.70,444
577,     57.80,486
578,     57.90,478
579,     58.00,436
580,     58.10,476
581,     58.20,492
582,     58.30,460
583,     58.40,465
584,     58.50,460
585,     58.60,466
586,     58.70,439
587,     58.80,485
588,     58.90,490
589,     59.00,462
590,     59.10,464
591,     59.20,485
592,     59.30,451
593,     59.40,450
594,     59.50,480
595,     59.60,447
596,     59.70,440
597,     59.80,461
598,     59.90,473
599,     60.00,474
600,     60.10,478
601,     60.20,462
602,     60.30,474
603,     60.40,475
604,     60.50,426
605,     60.60,447
606,     60.70,472
607,     60.80,465
608,     60.90,498
609,     61.00,501
610,     61.10,450
611,     61.20,442
612,     61.30,440
613,     61.40,535
614,     61.50,471
615,     61.60,468
616,     61.70,432
617,     61.80,478
618,     61.90,474
619,     62.00,482
620,     62.10,467
621,     62.20,436
622,     62.30,458
623,     62.40,490
624,     62.50,465
625,     62.60,473
626,     62.70,479
627,     62.80,483
628,     62.90,454
629,     63.00,449
630,     63.10,505
631,     63.20,447
632,     63.30,459
633,     63.40,490
634,     63.50,444
635,     63.60,472
636,     63.70,510
637,     63.80,474
638,     63.90,479
639,     64.00,459
640,     64.10,445
641,     64.20,465
642,     64.30,500
643,     64.40,455
644,     64.50,466
645,     64.60,476
646,     64.70,437
647,     64.80,481
648,     64.90,471
649,     65.00,470
650,     65.10,455
651,     65.20,483
652,     65.30,452
653,     65.40,471
654,     65.50,464
655,     65.60,464
656,     65.70,451
657,     65.80,503
658,     65.90,466
659,     66.00,422
660,     66.10,482
661,     66.20,484
662,     66.30,440
663,     66.40,469
664,     66.50,471
665,     66.60,488
666,     66.70,508
667,     66.80,501
668,     66.90,480
669,     67.00,471
670,     67.10,472
671,     67.20,472
672,     67.30,457
673,     67.40,482
674,     67.50,434
675,     67.60,489
676,     67.70,519
677,     67.80,516
678,     67.90,493
679,     68.00,495
680,     68.10,485
681,     68.20,495
682,     68.30,480
683,     68.40,445
684,     68.50,477
685,     68.60,465
686,     68.70,470
687,     68.80,465
688,     68.90,490
689,     69.00,468
690,     69.10,465
691,     69.20,459
692,     69.30,485
693,     69.40,472
694,     69.50,481
695,     69.60,476
696,     69.70,461
697,     69.80,486
698,     69.90,492
699,     70.00,473
700,     70.10,495
701,     70.20,506
702,     70.30,447
703,     70.40,464
704,     70.50,469
705,     70.60,464
706,     70.70,507
707,     70.80,419
708,     70.90,445
709,     71.00,449
710,     71.10,461
711,     71.20,478
712,     71.30,477
713,     71.40,472
714,     71.50,458
715,     71.60,478
716,     71.70,488
717,     71.80,452
718,     71.90,457
719,     72.00,492
720,     72.10,475
721,     72.20,476
722,     72.30,445
723,     72.40,444
724,     72.50,441
725,     72.60,475
726,     72.70,462
727,     72.80,458
728,     72.90,461
729,     73.00,479
730,     73.10,459
731,     73.20,462
732,     73.30,490
733,     73.40,466
734,     73.50,475
735,     73.60,478
736,     73.70,473
737,     73.80,451
738,     73.90,444
739,     74.00,480
740,     74.10,469
741,     74.20,453
742,     74.30,439
743,     74.40,446
744,     74.50,469
745,     74.60,450
746,     74.70,472
747,     74.80,489
748,     74.90,451
749,     75.00,485
750,     75.10,410
751,     75.20,476
752,     75.30,448
753,     75.40,511
754,     75.50,480
755,     75.60,444
756,     75.70,433
757,     75.80,432
758,     75.90,449
759,     76.00,448
760,     76.10,465
761,     76.20,470
762,     76.30,481
763,     76.40,454
764,     76.50,463
765,     76.60,495
766,     76.70,499
767,     76.80,440
768,     76.90,493
769,     77.00,488
770,     77.10,475
771,     77.20,493
772,     77.30,446
773,     77.40,459
774,     77.50,435
775,     77.60,451
776,     77.70,462
777,     77.80,461
778,     77.90,445
779,     78.00,465
780,     78.10,468
781,     78.20,481
782,     78.30,465
783,     78.40,443
784,     78.50,497
785,     78.60,459
786,     78.70,469
787,     78.80,445
788,     78.90,459
789,     79.00,440
790,     79.10,414
791,     79.20,455
792,     79.30,440
793,     79.40,458
794,     79.50,468
795,     79.60,437
796,     79.70,479
797,     79.80,488
798,     79.90,480
799,     80.00,462
800,     80.10,480
801,     80.20,495
802,     80.30,482
803,     80.40,471
804,     80.50,484
805,     80.60,449
806,     80.70,462
807,     80.80,451
808,     80.90,451
809,     81.00,495
810,     81.10,426
811,     81.20,494
812,     81.30,464
813,     81.40,461
814,     81.50,430
815,     81.60,478
816,     81.70,471
817,     81.80,451
818,     81.90,455
819,     82.00,454
820,     82.10,490
821,     82.20,457
822,     82.30,477
823,     82.40,464
824,     82.50,435
825,     82.60,446
826,     82.70,454
827,     82.80,475
828,     82.90,439
829,     83.00,479
830,     83.10,455
831,     83.20,458
832,     83.30,486
833,     83.40,470
834,     83.50,468
835,     83.60,420
836,     83.70,491
837,     83.80,448
838,     83.90,467
839,     84.00,494
840,     84.10,468
841,     84.20,462
842,     84.30,465
843,     84.40,467
844,     84.50,449
845,     84.60,462
846,     84.70,466
847,     84.80,444
848,     84.90,474
849,     85.00,455
850,     85.10,467
851,     85.20,442
852,     85.30,516
853,     85.40,475
854,     85.50,490
855,     85.60,408
856,     85.70,492
857,     85.80,466
858,     85.90,469
859,     86.00,459
860,     86.10,479
861,     86.20,440
862,     86.30,493
863,     86.40,453
864,     86.50,445
865,     86.60,461
866,     86.70,469
867,     86.80,467
868,     86.90,454
869,     87.00,452
870,     87.10,465
871,     87.20,452
872,     87.30,476
873,     87.40,463
874,     87.50,451
875,     87.60,447
876,     87.70,467
877,     87.80,456
878,     87.90,467
879,     88.00,467
880,     88.10,455
881,     88.20,474
882,     88.30,450
883,     88.40,482
884,     88.50,439
885,     88.60,458
886,     88.70,458
887,     88.80,462
888,     88.90,425
889,     89.00,503
890,     89.10,472
891,     89.20,470
892,     89.30,474
893,     89.40,486
894,     89.50,431
895,     89.60,477
896,     89.70,456
897,     89.80,432
898,     89.90,474
899,     90.00,457
900,     90.10,498
901,     90.20,468
902,     90.30,451
903,     90.40,468
904,     90.50,428
905,     90.60,464
906,     90.70,458
907,     90.80,489
908,     90.90,424
909,     91.00,464
910,     91.10,468
911,     91.20,438
912,     91.30,450
913,     91.40,466
914,     91.50,464
915,     91.60,471
916,     91.70,501
917,     91.80,487
918,     91.90,443
919,     92.00,484
920,     92.10,476
921,     92.20,446
922,     92.30,505
923,     92.40,440
924,     92.50,456
925,     92.60,432
926,     92.70,483
927,     92.80,441
928,     92.90,434
929,     93.00,469
930,     93.10,481
931,     93.20,457
932,     93.30,463
933,     93.40,446
934,     93.50,451
935,     93.60,495
936,     93.70,457
937,     93.80,427
938,     93.90,477
939,     94.00,413
940,     94.10,497
941,     94.20,453
942,     94.30,460
943,     94.40,493
944,     94.50,468
945,     94.60,455
946,     94.70,469
947,     94.80,475
948,     94.90,460
949,     95.00,493
950,     95.10,475
951,     95.20,443
952,     95.30,453
953,     95.40,458
954,     95.50,503
955,     95.60,445
956,     95.70,499
957,     95.80,427
958,     95.90,458
959,     96.00,452
960,     96.10,451
961,     96.20,486
962,     96.30,434
963,     96.40,486
964,     96.50,476
965,     96.60,431
966,     96.70,451
967,     96.80,476
968,     96.90,453
969,     97.00,449
970,     97.10,431
971,     97.20,429
972,     97.30,461
973,     97.40,462
974,     97.50,438
975,     97.60,457
976,     97.70,460
977,     97.80,478
978,     97.90,457
979,     98.00,437
980,     98.10,431
981,     98.20,434
982,     98.30,478
983,     98.40,461
984,     98.50,459
985,     98.60,455
986,     98.70,449
987,     98.80,468
988,     98.90,478
989,     99.00,494
990,     99.10,456
991,     99.20,466
992,     99.30,464
993,     99.40,416
994,     99.50,452
995,     99.60,478
996,     99.70,472
997,     99.80,467
998,     99.90,478
999,    100.00,442
1000,    100.10,487
1001,    100.20,459
1002,    100.30,421
1003,    100.40,425
1004,    100.50,435
1005,    100.60,429
1006,    100.70,502
1007,    100.80,434
1008,    100.90,429
1009,    101.00,441
1010,    101.10,454
1011,    101.20,476
1012,    101.30,457
1013,    101.40,452
1014,    101.50,415
1015,    101.60,473
1016,    101.70,456
1017,    101.80,432
1018,    101.90,433
1019,    102.00,469
1020,    102.10,468
1021,    102.20,484
1022,    102.30,458
1023,    102.40,469
1024,    102.50,445
1025,    102.60,453
1026,    102.70,471
1027,    102.80,392
1028,    102.90,464
1029,    103.00,451
1030,    103.10,427
1031,    103.20,389
1032,    103.30,391
1033,    103.40,428
1034,    103.50,416
1035,    103.60,430
1036,    103.70,397
1037,    103.80,413
1038,    103.90,426
1039,    104.00,416
1040,    104.10,411
1041,    104.20,394
1042,    104.30,382
1043,    104.40,422
1044,    104.50,386
1045,    104.60,414
1046,    104.70,422
1047,    104.80,409
1048,    104.90,389
1049,    105.00,451
1050,    105.10,391
1051,    105.20,420
1052,    105.30,419
1053,    105.40,465
1054,    105.50,412
1055,    105.60,401
1056,    105.70,452
1057,    105.80,405
1058,    105.90,440
1059,    106.00,444
1060,    106.10,431
1061,    106.20,405
1062,    106.30,439
1063,    106.40,459
1064,    106.50,438
1065,    106.60,467
1066,    106.70,486
1067,    106.80,460
1068,    106.90,452
1069,    107.00,426
1070,    107.10,459
1071,    107.20,453
1072,    107.30,474
1073,    107.40,459
1074,    107.50,430
1075,    107.60,471
1076,    107.70,452
1077,    107.80,451
1078,    107.90,456
1079,    108.00,477
1080,    108.10,442
1081,    108.20,452
1082,    108.30,472
1083,    108.40,441
1084,    108.50,471
1085,    108.60,451
1086,    108.70,459
1087,    108.80,440
1088,    108.90,486
1089,    109.00,471
1090,    109.10,470
1091,    109.20,455
1092,    109.30,470
1093,    109.40,441
1094,    109.50,431
1095,    109.60,480
1096,    109.70,454
1097,    109.80,454
1098,    109.90,458
1099,    110.00,460
1100,    110.10,454
1101,    110.20,499
1102,    110.30,466
1103,    110.40,477
1104,    110.50,435
1105,    110.60,486
1106,    110.70,455
1107,    110.80,450
1108,    110.90,485
1109,    111.00,467
1110,    111.10,515
1111,    111.20,483
1112,    111.30,460
1113,    111.40,472
1114,    111.50,417
1115,    111.60,431
1116,    111.70,440
1117,    111.80,486
1118,    111.90,465
1119,    112.00,481
1120,    112.10,465
1121,    112.20,479
1122,    112.30,468
1123,    112.40,493
1124,    112.50,478
1125,    112.60,464
1126,    112.70,448
1127,    112.80,450
1128,    112.90,428
1129,    113.00,472
1130,    113.10,426
1131,    113.20,453
1132,    113.30,439
1133,    113.40,481
1134,    113.50,467
1135,    113.60,452
1136,    113.70,472
1137,    113.80,484
1138,    113.90,471
1139,    114.00,455
1140,    114.10,413
1141,    114.20,436
1142,    114.30,441
1143,    114.40,478
1144,    114.50,443
1145,    114.60,480
1146,    114.70,521
1147,    114.80,459
1148,    114.90,482
1149,    115.00,501
1150,    115.10,435
1151,    115.20,462
1152,    115.30,463
1153,    115.40,456
1154,    115.50,492
1155,    115.60,454
1156,    115.70,474
1157,    115.80,463
1158,    115.90,431
1159,    116.00,486
1160,    116.10,486
1161,    116.20,474
1162,    116.30,463
1163,    116.40,462
1164,    116.50,486
1165,    116.60,449
1166,    116.70,475
1167,    116.80,517
1168,    116.90,483
1169,    117.00,489
1170,    117.10,476
1171,    117.20,436
1172,    117.30,441
1173,    117.40,460
1174,    117.50,493
1175,    117.60,460
1176,    117.70,507
1177,    117.80,487
1178,    117.90,473
1179,    118.00,443
1180,    118.10,445
1181,    118.20,484
1182,    118.30,474
1183,    118.40,454
1184,    118.50,473
1185,    118.60,470
1186,    118.70,494
1187,    118.80,458
1188,    118.90,449
1189,    119.00,523
1190,    119.10,498
1191,    119.20,457
1192,    119.30,481
1193,    119.40,484
1194,    119.50,460
1195,    119.60,484
1196,    119.70,482
