,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
3.51300e-01,1.04e-02,2.14e-01,3.18e-01,-2.64e+00, 
3.51320e-01,1.04e-02,2.14e-01,3.17e-01,-2.64e+00, 
3.51340e-01,1.04e-02,2.14e-01,3.17e-01,-2.64e+00, 
3.51360e-01,1.12e-02,2.14e-01,3.17e-01,-2.64e+00, 
3.51380e-01,1.04e-02,2.14e-01,3.17e-01,-2.64e+00, 
3.51400e-01,9.60e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51420e-01,9.60e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51440e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51460e-01,1.04e-02,2.14e-01,3.17e-01,-2.64e+00, 
3.51480e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51500e-01,9.60e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51520e-01,9.60e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51540e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51560e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51580e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51600e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51620e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51640e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51660e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51680e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51700e-01,8.80e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51720e-01,8.00e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51740e-01,8.00e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51760e-01,8.00e-03,2.14e-01,3.17e-01,-2.64e+00, 
3.51780e-01,8.80e-03,2.14e-01,3.16e-01,-2.64e+00, 
3.51800e-01,8.00e-03,2.14e-01,3.16e-01,-2.64e+00, 
