,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
2.51200e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.52000e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.52800e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.53600e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.54400e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.55200e-02,1.04e-02,2.73e-01,3.36e-01,9.58e+00, 
2.56000e-02,9.60e-03,2.72e-01,3.37e-01,9.56e+00, 
2.56800e-02,8.80e-03,2.73e-01,3.37e-01,9.60e+00, 
2.57600e-02,9.60e-03,2.72e-01,3.37e-01,9.58e+00, 
2.58400e-02,1.04e-02,2.72e-01,3.36e-01,9.58e+00, 
2.59200e-02,9.60e-03,2.72e-01,3.36e-01,9.58e+00, 
2.60000e-02,9.60e-03,2.73e-01,3.37e-01,9.58e+00, 
2.60800e-02,9.60e-03,2.73e-01,3.37e-01,9.60e+00, 
2.61600e-02,9.60e-03,2.72e-01,3.36e-01,9.56e+00, 
2.62400e-02,9.60e-03,2.73e-01,3.36e-01,9.58e+00, 
2.63200e-02,1.04e-02,2.72e-01,3.36e-01,9.60e+00, 
2.64000e-02,9.60e-03,2.72e-01,3.37e-01,9.58e+00, 
2.64800e-02,1.04e-02,2.72e-01,3.37e-01,9.56e+00, 
2.65600e-02,9.60e-03,2.72e-01,3.36e-01,9.58e+00, 
2.66400e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.67200e-02,8.80e-03,2.72e-01,3.37e-01,9.58e+00, 
2.68000e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.68800e-02,8.80e-03,2.73e-01,3.37e-01,9.56e+00, 
2.69600e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.70400e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.71200e-02,9.60e-03,2.72e-01,3.37e-01,9.56e+00, 
2.72000e-02,9.60e-03,2.72e-01,3.36e-01,9.56e+00, 
2.72800e-02,9.60e-03,2.72e-01,3.37e-01,9.56e+00, 
2.73600e-02,9.60e-03,2.72e-01,3.36e-01,9.56e+00, 
2.74400e-02,9.60e-03,2.72e-01,3.36e-01,9.56e+00, 
2.75200e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.76000e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.76800e-02,9.60e-03,2.72e-01,3.37e-01,9.56e+00, 
2.77600e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.78400e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.79200e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.80000e-02,9.60e-03,2.72e-01,3.36e-01,9.54e+00, 
2.80800e-02,9.60e-03,2.72e-01,3.36e-01,9.56e+00, 
2.81600e-02,8.80e-03,2.72e-01,3.37e-01,9.54e+00, 
2.82400e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.83200e-02,8.80e-03,2.72e-01,3.37e-01,9.56e+00, 
2.84000e-02,8.80e-03,2.72e-01,3.37e-01,9.54e+00, 
