,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-2.17600e-01,-2.72e-02,3.58e-01,3.33e-01,4.68e+00, 
-2.17200e-01,-3.04e-02,3.57e-01,3.34e-01,4.72e+00, 
-2.16800e-01,-3.12e-02,3.57e-01,3.33e-01,4.68e+00, 
-2.16400e-01,-3.28e-02,3.58e-01,3.33e-01,4.64e+00, 
-2.16000e-01,-3.28e-02,3.57e-01,3.33e-01,4.64e+00, 
-2.15600e-01,-3.52e-02,3.58e-01,3.33e-01,4.64e+00, 
-2.15200e-01,-3.52e-02,3.57e-01,3.33e-01,4.64e+00, 
-2.14800e-01,-3.68e-02,3.57e-01,3.33e-01,4.60e+00, 
-2.14400e-01,-3.68e-02,3.57e-01,3.33e-01,4.56e+00, 
-2.14000e-01,-3.84e-02,3.57e-01,3.33e-01,4.64e+00, 
-2.13600e-01,-3.84e-02,3.57e-01,3.33e-01,4.60e+00, 
-2.13200e-01,-3.84e-02,3.57e-01,3.33e-01,4.56e+00, 
-2.12800e-01,-3.84e-02,3.57e-01,3.33e-01,4.56e+00, 
-2.12400e-01,-4.00e-02,3.57e-01,3.33e-01,4.52e+00, 
-2.12000e-01,-4.00e-02,3.57e-01,3.33e-01,4.56e+00, 
-2.11600e-01,-4.16e-02,3.57e-01,3.33e-01,4.52e+00, 
-2.11200e-01,-4.16e-02,3.57e-01,3.33e-01,4.52e+00, 
-2.10800e-01,-4.24e-02,3.57e-01,3.33e-01,4.52e+00, 
-2.10400e-01,-4.24e-02,3.57e-01,3.32e-01,4.52e+00, 
-2.10000e-01,-4.32e-02,3.56e-01,3.33e-01,4.48e+00, 
-2.09600e-01,-4.32e-02,3.56e-01,3.32e-01,4.48e+00, 
-2.09200e-01,-4.40e-02,3.57e-01,3.33e-01,4.52e+00, 
-2.08800e-01,-4.40e-02,3.56e-01,3.32e-01,4.48e+00, 
-2.08400e-01,-4.40e-02,3.56e-01,3.32e-01,4.44e+00, 
-2.08000e-01,-4.40e-02,3.56e-01,3.32e-01,4.44e+00, 
-2.07600e-01,-4.32e-02,3.56e-01,3.32e-01,4.48e+00, 
-2.07200e-01,-4.32e-02,3.56e-01,3.32e-01,4.44e+00, 
-2.06800e-01,-4.16e-02,3.56e-01,3.32e-01,4.40e+00, 
-2.06400e-01,-4.16e-02,3.56e-01,3.32e-01,4.40e+00, 
-2.06000e-01,-3.92e-02,3.56e-01,3.32e-01,4.40e+00, 
-2.05600e-01,-3.84e-02,3.56e-01,3.31e-01,4.40e+00, 
-2.05200e-01,-3.52e-02,3.55e-01,3.32e-01,4.40e+00, 
-2.04800e-01,-3.52e-02,3.56e-01,3.31e-01,4.40e+00, 
-2.04400e-01,-3.12e-02,3.55e-01,3.32e-01,4.36e+00, 
-2.04000e-01,-3.04e-02,3.55e-01,3.31e-01,4.36e+00, 
-2.03600e-01,-2.72e-02,3.56e-01,3.31e-01,4.32e+00, 
-2.03200e-01,-2.64e-02,3.55e-01,3.31e-01,4.36e+00, 
-2.02800e-01,-2.16e-02,3.55e-01,3.31e-01,4.32e+00, 
-2.02400e-01,-2.08e-02,3.55e-01,3.31e-01,4.36e+00, 
-2.02000e-01,-1.68e-02,3.55e-01,3.31e-01,4.32e+00, 
-2.01600e-01,-1.60e-02,3.55e-01,3.31e-01,4.32e+00, 
-2.01200e-01,-1.28e-02,3.55e-01,3.31e-01,4.24e+00, 
-2.00800e-01,-1.28e-02,3.55e-01,3.31e-01,4.28e+00, 
-2.00400e-01,-8.00e-03,3.54e-01,3.31e-01,4.24e+00, 
-2.00000e-01,-8.00e-03,3.55e-01,3.31e-01,4.28e+00, 
-1.99600e-01,-4.80e-03,3.54e-01,3.30e-01,4.24e+00, 
-1.99200e-01,-4.00e-03,3.54e-01,3.31e-01,4.24e+00, 
-1.98800e-01,-2.40e-03,3.55e-01,3.30e-01,4.24e+00, 
-1.98400e-01,-1.60e-03,3.54e-01,3.30e-01,4.24e+00, 
-1.98000e-01,0.00e+00,3.55e-01,3.30e-01,4.20e+00, 
-1.97600e-01,8.00e-04,3.54e-01,3.30e-01,4.24e+00, 
-1.97200e-01,4.00e-03,3.54e-01,3.30e-01,4.20e+00, 
-1.96800e-01,3.20e-03,3.54e-01,3.30e-01,4.20e+00, 
-1.96400e-01,4.80e-03,3.54e-01,3.30e-01,4.16e+00, 
-1.96000e-01,5.60e-03,3.54e-01,3.30e-01,4.20e+00, 
-1.95600e-01,8.00e-03,3.54e-01,3.29e-01,4.12e+00, 
-1.95200e-01,8.00e-03,3.54e-01,3.30e-01,4.16e+00, 
-1.94800e-01,1.12e-02,3.54e-01,3.29e-01,4.12e+00, 
-1.94400e-01,1.12e-02,3.54e-01,3.29e-01,4.12e+00, 
-1.94000e-01,1.52e-02,3.54e-01,3.30e-01,4.12e+00, 
-1.93600e-01,1.52e-02,3.54e-01,3.29e-01,4.12e+00, 
-1.93200e-01,1.76e-02,3.53e-01,3.29e-01,4.12e+00, 
-1.92800e-01,1.76e-02,3.54e-01,3.29e-01,4.12e+00, 
-1.92400e-01,2.16e-02,3.53e-01,3.29e-01,4.08e+00, 
-1.92000e-01,2.24e-02,3.53e-01,3.29e-01,4.12e+00, 
-1.91600e-01,2.64e-02,3.53e-01,3.29e-01,4.04e+00, 
-1.91200e-01,2.72e-02,3.53e-01,3.28e-01,4.04e+00, 
-1.90800e-01,3.04e-02,3.53e-01,3.29e-01,4.08e+00, 
-1.90400e-01,3.04e-02,3.53e-01,3.28e-01,4.08e+00, 
-1.90000e-01,3.36e-02,3.53e-01,3.29e-01,4.00e+00, 
-1.89600e-01,3.36e-02,3.53e-01,3.28e-01,4.04e+00, 
-1.89200e-01,3.68e-02,3.52e-01,3.29e-01,3.96e+00, 
-1.88800e-01,3.76e-02,3.52e-01,3.28e-01,4.00e+00, 
-1.88400e-01,3.92e-02,3.53e-01,3.28e-01,3.96e+00, 
-1.88000e-01,4.00e-02,3.52e-01,3.28e-01,4.00e+00, 
-1.87600e-01,4.16e-02,3.52e-01,3.28e-01,3.96e+00, 
-1.87200e-01,4.16e-02,3.52e-01,3.28e-01,3.96e+00, 
-1.86800e-01,4.32e-02,3.52e-01,3.28e-01,3.96e+00, 
-1.86400e-01,4.32e-02,3.52e-01,3.28e-01,3.96e+00, 
-1.86000e-01,4.40e-02,3.52e-01,3.28e-01,3.92e+00, 
-1.85600e-01,4.40e-02,3.52e-01,3.28e-01,3.96e+00, 
-1.85200e-01,4.32e-02,3.52e-01,3.27e-01,3.92e+00, 
-1.84800e-01,4.40e-02,3.52e-01,3.28e-01,3.96e+00, 
-1.84400e-01,4.32e-02,3.52e-01,3.27e-01,3.88e+00, 
-1.84000e-01,4.32e-02,3.52e-01,3.27e-01,3.84e+00, 
-1.83600e-01,4.16e-02,3.51e-01,3.27e-01,3.92e+00, 
-1.83200e-01,4.16e-02,3.52e-01,3.27e-01,3.88e+00, 
-1.82800e-01,4.08e-02,3.51e-01,3.27e-01,3.84e+00, 
-1.82400e-01,4.08e-02,3.52e-01,3.27e-01,3.84e+00, 
-1.82000e-01,3.84e-02,3.51e-01,3.27e-01,3.80e+00, 
-1.81600e-01,3.84e-02,3.51e-01,3.27e-01,3.80e+00, 
-1.81200e-01,3.68e-02,3.51e-01,3.26e-01,3.84e+00, 
-1.80800e-01,3.60e-02,3.51e-01,3.27e-01,3.80e+00, 
-1.80400e-01,3.36e-02,3.51e-01,3.26e-01,3.80e+00, 
-1.80000e-01,3.36e-02,3.51e-01,3.26e-01,3.80e+00, 
-1.79600e-01,3.20e-02,3.51e-01,3.27e-01,3.76e+00, 
-1.79200e-01,3.12e-02,3.51e-01,3.26e-01,3.76e+00, 
-1.78800e-01,2.88e-02,3.51e-01,3.26e-01,3.72e+00, 
