,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.95200e-02,1.84e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.95000e-02,1.84e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.94800e-02,1.84e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.94600e-02,1.84e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.94400e-02,1.84e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.94200e-02,1.84e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.94000e-02,1.92e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.93800e-02,1.92e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.93600e-02,1.92e-02,4.16e-02,3.68e-02,-1.70e+01, 
-1.93400e-02,2.00e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.93200e-02,2.00e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.93000e-02,2.00e-02,4.20e-02,3.68e-02,-1.70e+01, 
-1.92800e-02,2.00e-02,4.20e-02,3.68e-02,-1.71e+01, 
-1.92600e-02,2.08e-02,4.20e-02,3.68e-02,-1.71e+01, 
-1.92400e-02,2.08e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.92200e-02,2.08e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.92000e-02,2.16e-02,4.20e-02,3.68e-02,-1.71e+01, 
-1.91800e-02,2.16e-02,4.20e-02,3.68e-02,-1.71e+01, 
-1.91600e-02,2.16e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.91400e-02,2.24e-02,4.20e-02,3.68e-02,-1.71e+01, 
-1.91200e-02,2.24e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.91000e-02,2.24e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.90800e-02,2.24e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.90600e-02,2.32e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.90400e-02,2.32e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.90200e-02,2.32e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.90000e-02,2.40e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.89800e-02,2.40e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.89600e-02,2.48e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.89400e-02,2.48e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.89200e-02,2.48e-02,4.20e-02,3.72e-02,-1.71e+01, 
-1.89000e-02,2.48e-02,4.20e-02,3.72e-02,-1.71e+01, 
