,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
2.62880e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.62900e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.62920e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.62940e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.62960e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.62980e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63000e-02,-3.20e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63020e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63040e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63060e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63080e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63100e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63120e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63140e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63160e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63180e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63200e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63220e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63240e-02,-3.28e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63260e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63280e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63300e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63320e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63340e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63360e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63380e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63400e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63420e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63440e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63460e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63480e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63500e-02,-3.36e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63520e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63540e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63560e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63580e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63600e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63620e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63640e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63660e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63680e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63700e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63720e-02,-3.44e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63740e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63760e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63780e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63800e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63820e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63840e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63860e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63880e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63900e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63920e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63940e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63960e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.63980e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64000e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64020e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64040e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64060e-02,-3.52e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64080e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64100e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64120e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64140e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64160e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64180e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64200e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64220e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64240e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64260e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64280e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64300e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64320e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64340e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64360e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64380e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64400e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64420e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64440e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64460e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64480e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64500e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64520e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64540e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64560e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64580e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64600e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64620e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64640e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64660e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64680e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64700e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64720e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64740e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64760e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64780e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64800e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64820e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64840e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64860e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64880e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64900e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64920e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64940e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64960e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.64980e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65000e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65020e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65040e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65060e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65080e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65100e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65120e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
2.65140e-02,-3.60e-02,-2.40e-03,6.00e-04,6.06e+00, 
