,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
9.33600e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.34000e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.34400e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.34800e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.35200e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.35600e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.36000e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.36400e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.36800e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.37200e-03,2.00e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.37600e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.38000e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.38400e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.38800e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.39200e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.39600e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.40000e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.40400e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.40800e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.41200e-03,2.08e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.41600e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.42000e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.42400e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.42800e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.43200e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.43600e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.44000e-03,2.16e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.44400e-03,2.24e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.44800e-03,2.24e-02,-5.00e-03,-4.40e-03,7.44e+00, 
9.45200e-03,2.24e-02,-5.00e-03,-4.40e-03,7.44e+00, 
